"","site.accession","site.code","session","subplot","species","Liqr_v","Uiqr_v","median_v","mean_v","sd_v","tree.count"
"3530","DCLU002","DCLU","2","10","all",0.900605,1.64737,1.23202234412204,1.29235010751827,0.448124298220929,37
"3531","DCLU003","DCLU","3","1","all",1.291615,3.274869,2.1722313008697,2.77738909121588,2.19748117282475,14
"3532","DCLU003","DCLU","3","2","all",1.387124,3.377429,2.39890597312051,2.7102712438456,1.80269784722272,46
"3533","DCLU003","DCLU","3","3","all",0.962782,3.069108,1.51705615497721,2.20989466782607,1.64013103345248,29
"3534","DCLU003","DCLU","3","4","all",1.464044,5.051721,2.58477035325128,4.07042124392478,3.92477276116286,32
"3535","DCLU003","DCLU","3","5","all",1.858259,6.261288,3.84639316199708,4.77420813146902,3.76675995076385,41
"3536","DCLU003","DCLU","3","6","all",1.188414,3.295381,2.06261595487569,2.37649640328084,1.38494133252615,35
"3537","DCLU003","DCLU","3","7","all",1.043548,2.319779,1.5599244376816,1.93061860267435,1.27778507250129,42
"3538","DCLU003","DCLU","3","8","all",1.619807,3.94856,2.70699622730505,3.05616364275146,1.8925893658884,36
"3539","DCLU003","DCLU","3","9","all",1.174312,3.042186,1.83224003317388,2.40779240908695,1.76122734806623,37
"3540","DCLU003","DCLU","3","10","all",1.119186,2.069789,1.59541546462106,1.70683591706443,0.755705687383975,37
"3541","DCLU004","DCLU","4","1","all",1.271744,3.329354,2.06435653148325,3.77111972920274,6.05072029740654,14
"3542","DCLU004","DCLU","4","2","all",1.490966,3.613317,2.59574812750458,2.87244723116067,1.91750126467745,46
"3543","DCLU004","DCLU","4","3","all",1.085854,3.094107,1.73084036207609,2.3251196266634,1.73289807391458,29
"3544","DCLU004","DCLU","4","4","all",1.476223,5.369657,2.84066439434485,3.87446046347172,3.34839328170877,32
"3545","DCLU004","DCLU","4","5","all",1.851849,6.088859,3.43235788210601,4.39765472583271,3.36131852088565,41
"3546","DCLU004","DCLU","4","6","all",1.132006,2.340291,1.69131757757615,1.76695264331832,0.74128663162436,35
"3547","DCLU004","DCLU","4","7","all",1.039061,2.974881,1.60272151611486,2.28831068598535,1.75066287105524,42
"3548","DCLU004","DCLU","4","8","all",1.359561,4.064581,2.59535282665836,2.9019366559407,1.83832272197722,36
"3549","DCLU004","DCLU","4","9","all",1.03842,3.105645,1.69032551916448,2.35033260075125,1.78703296697901,37
"3550","DCLU004","DCLU","4","10","all",0,0,0,0,0,37
"3551","DCLU005","DCLU","5","1","all",1.299948,3.960098,2.57211595916393,3.00200344412925,2.12227598741923,14
"3552","DCLU005","DCLU","5","2","all",1.767237,5.84592,3.1685970676598,4.8235607643098,5.04404114218047,46
"3553","DCLU005","DCLU","5","3","all",1.346741,3.615881,2.18303355315746,2.67313648802532,1.68380964931105,29
"3554","DCLU005","DCLU","5","4","all",1.115981,2.686431,1.69574157552933,2.21114596028666,1.6339578372508,32
"3555","DCLU005","DCLU","5","5","all",1.42943,5.290814,2.79711980532256,3.84263951681835,3.20505936832117,41
"3556","DCLU005","DCLU","5","6","all",1.399303,4.714555,2.4862715798496,3.98644801155475,4.24354380855909,35
"3557","DCLU005","DCLU","5","7","all",1.055086,3.023597,1.74099847882655,2.47171427072269,2.22083410363392,42
"3558","DCLU005","DCLU","5","8","all",1.539041,4.689556,2.89124913744793,3.63047328765002,2.76642506968454,36
"3559","DCLU005","DCLU","5","9","all",1.028805,2.363367,1.60196695888076,1.82180176574102,0.986226699857749,37
"3560","DCLU005","DCLU","5","10","all",1.162133,2.673611,1.8289109195509,2.01314522777354,1.07258497130287,37
"3561","DCLU006","DCLU","6","1","all",1.455711,5.034414,2.65477322552826,4.71888441345788,6.17688815667203,14
"3562","DCLU006","DCLU","6","2","all",1.99992,6.820881,3.77395927020269,5.37305186779109,5.13820282940235,46
