,site.code,session,site.accession,date,year,month,day,person,roost.area,roost.perimeter,pop.estimate.BFF,index.abundance,pop.estimate.GHFF,pop.estimate.LRFF,pop.estimate.total,pop.method
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,DAVO,7,DAVO007,20/02/2019,2019,2,20,Tamika Lunn,3140.26,351.65,962,3,50,2100,3112,direct
58,DBUR,7,DBUR007,22/02/2019,2019,2,22,Tamika Lunn; Liam Chirio,1722.35,180.65,389,1,0,0,389,direct
59,DCAN,7,DCAN007,21/02/2019,2019,2,21,Tamika Lunn; Liam Chirio,7316.85,388.99,NA,5,NA,0,NA,NA
60,DCLU,7,DCLU007,26/02/2019,2019,2,26,Tamika Lunn; Rachael Smethurst,5546.46,358.12,NA,3,NA,0,4819,direct
61,DLIS,7,DLIS007,26/02/2019,2019,2,26,Tamika Lunn; Rachael Smethurst,19320.45,782.59,1000,5,10953,0,11953,NFFMP
62,DRED,7,DRED007,20/02/2019,2019,2,20,Tamika Lunn; Liam Chirio,13358.7,742.83,NA,3,NA,NA,4370,council
63,DSUN,7,DSUN007,22/02/2019,2019,2,22,Tamika Lunn; Liam Chirio,3049.78,337.7,2612,3,215,565,3392,direct
64,DTOW,7,DTOW007,27/02/2019,2019,2,27,Tamika Lunn; Isaac Davies,13492.38,526,NA,4,NA,NA,5844,direct
65,DAVO,8,DAVO008,26/03/2019,2019,3,26,Remy Brooks,7351.84,422.26,NA,2,NA,NA,1764,direct
66,DBUR,8,DBUR008,20/03/2019,2019,3,20,Remy Brooks,0,0,0,0,0,0,0,direct
67,DCAN,8,DCAN008,21/03/2019,2019,3,21,Remy Brooks,7381.15,500.74,NA,5,NA,0,NA,NA
68,DCLU,8,DCLU008,27/03/2019,2019,3,27,Remy Brooks,13308.29,512.41,NA,3,NA,0,4897,direct
69,DLIS,8,DLIS008,29/03/2019,2019,3,29,Remy Brooks,15327.06,716.88,NA,6,NA,NA,NA,estimate
70,DRED,8,DRED008,25/03/2019,2019,3,25,Remy Brooks,22927.134,719.25,NA,5,NA,NA,10690,council
71,DSUN,8,DSUN008,26/03/2019,2019,3,26,Remy Brooks,5546.17,348.13,NA,3,NA,0,2853,direct
72,DTOW,8,DTOW008,28/03/2019,2019,3,28,Remy Brooks,17981.54,607.86,NA,3,NA,NA,4679,direct
73,DAVO,9,DAVO009,17/04/2019,2019,4,17,Remy Brooks,4904.49,380.75,NA,2,NA,NA,1153,direct
74,DBUR,9,DBUR009,23/04/2019,2019,4,23,Remy Brooks,0,0,0,0,0,0,0,direct
75,DCAN,9,DCAN009,25/04/2019,2019,4,25,Remy Brooks,7581.91,453.33,NA,5,NA,0,NA,NA
76,DCLU,9,DCLU009,24/04/2019,2019,4,24,Remy Brooks,11454.79,527.72,NA,5,NA,0,5639,direct
77,DLIS,9,DLIS009,18/04/2019,2019,4,18,Remy Brooks,12184.23,546.88,NA,6,NA,NA,NA,estimate
78,DRED,9,DRED009,22/04/2019,2019,4,22,Remy Brooks,14063.16,569.25,NA,3,NA,NA,3320,council
79,DSUN,9,DSUN009,17/04/2019,2019,4,17,Remy Brooks,3779.4,310.82,NA,2,NA,0,2399,direct
80,DTOW,9,DTOW009,16/04/2019,2019,4,16,Remy Brooks,14947.65,555.91,NA,3,NA,NA,3474,direct
81,DAVO,10,DAVO010,27/05/2019,2019,5,27,Remy Brooks,6339.16,404.17,NA,2,NA,NA,2103,direct
82,DBUR,10,DBUR010,26/05/2019,2019,5,26,Remy Brooks,3553.03,351.22,804,2,0,0,804,direct
83,DCAN,10,DCAN010,26/05/2019,2019,5,26,Remy Brooks,0,0,0,0,0,0,0,direct
84,DCLU,10,DCLU010,30/05/2019,2019,5,30,Remy Brooks,11340.73,496.33,NA,4,NA,0,5348,direct
